M0,M1,M2,STD,M3,M4,M3_imp
2880.2454,2258.5502,2667.2807,4510.967135,2222.1354,2525.3277,2223.4588
4007.9945,3243.8141,3748.4376,4517.809024,3102.2876,3574.7626,3103.0639
4457.042,3792.7253,4176.2269,4524.135742,3588.1047,4059.3929,3605.4055
4639.6374,4105.3434,4375.2419,4523.925106,3974.7347,4295.6972,3994.007
5260.0723,4876.1863,5019.1018,4998.115613,4784.7061,4972.2484,4803.2417
7359.1738,7100.1656,7136.7817,6980.241906,7037.0956,7093.8699,7049.335
7529.1997,7306.1701,7323.9505,7078.082816,7229.379,7282.1686,7241.8853
7510.5298,7342.0771,7334.4392,7073.581691,7278.126,7295.8084,7289.2721
7473.5323,7337.3827,7313.937,7081.006268,7288.246,7279.6009,7299.1469
7463.2056,7333.5398,7317.8425,7093.715743,7292.199,7293.3438,7302.6398
7486.7883,7354.5245,7351.6011,7102.235933,7314.255,7325.2498,7323.9427
7512.5292,7373.0954,7380.3953,7105.642579,7335.7527,7353.3992,7343.9875
